17867	226294	89	London	10_Downing_Street
17867	1774210	24	London	122_Leadenhall_Street
17867	17056077	30	London	1854_Broad_Street_cholera_outbreak
17867	182153	18	London	1904_Summer_Olympics
17867	180916	29	London	1908_Summer_Olympics
17867	177520	27	London	1930_British_Empire_Games
17867	169515	20	London	1940_Summer_Olympics
17867	84318	19	London	1952_Summer_Olympics
17867	83870	19	London	1956_Summer_Olympics
17867	999382	22	London	1962_British_Empire_and_Commonwealth_Games
17867	83238	16	London	1964_Summer_Olympics
17867	999483	29	London	1966_British_Empire_and_Commonwealth_Games
17867	34657	41	London	1966_FIFA_World_Cup_Final
17867	83115	20	London	1968_Summer_Olympics
17867	1005991	29	London	1970_British_Commonwealth_Games
17867	72622	17	London	1976_Summer_Olympics
17867	929173	29	London	1990_Commonwealth_Games
17867	794905	26	London	1991_World_Championships_in_Athletics
17867	780853	26	London	1993_World_Championships_in_Athletics
17867	775979	22	London	1995_World_Championships_in_Athletics
17867	14563484	32	London	19th-century_London
17867	71432	19	London	2000_Summer_Olympics
17867	773431	24	London	2001_World_Championships_in_Athletics
17867	64202	24	London	2002_Commonwealth_Games
17867	304821	150	London	2003_European_heat_wave
17867	307313	25	London	2003_World_Championships_in_Athletics
17867	806017	23	London	2005_World_Championships_in_Athletics
17867	3517973	25	London	2007_World_Championships_in_Athletics
17867	3517978	24	London	2009_World_Championships_in_Athletics
17867	365813	27	London	2010_Commonwealth_Games
17867	2176142	220	London	2012_Summer_Olympics
17867	2403081	26	London	2014_Commonwealth_Games
17867	14159498	31	London	2018_Commonwealth_Games
17867	2185939	36	London	7_July_2005_London_bombings
17867	305273	24	London	8_Canada_Square
17867	6525169	65	London	A102_road
17867	216877	37	London	A1_road_(Great_Britain)
17867	9074870	25	London	ABC-CLIO
17867	33440910	31	London	Abellio_Greater_Anglia
17867	18769343	41	London	Academic_health_science_centre
17867	13535842	32	London	Adrian_Tinniswood
17867	206337	27	London	Ahmedabad
17867	37575	28	London	Airport
17867	413532	39	London	Albertopolis
17867	808	21	London	Alfred_Hitchcock
17867	59318	23	London	Andorra_la_Vella
17867	54764	45	London	Andrew_Lloyd_Webber
17867	909	28	London	Anglican_Communion
17867	9652708	104	London	Anglo-Saxon_London
17867	32149462	32	London	Antwerp
17867	1333905	33	London	Applied_arts
17867	2345	33	London	Archbishop_of_Canterbury
17867	5748072	170	London	Architecture_of_London
17867	10918072	16	London	Armenia
17867	2193250	31	London	Arriva_London
17867	2193291	32	London	Arriva_Southern_Counties
17867	173836	28	London	Ashtead
17867	56602	20	London	Astana
17867	205883	30	London	Aylesbury
17867	255382	28	London	BAPS_Shri_Swaminarayan_Mandir_London
17867	28277887	30	London	BPP_University
17867	4006435	31	London	BSix_Sixth_Form_College
17867	645224	79	London	Baker_Street
17867	4566	22	London	Baku
17867	56615	38	London	Bangkok
17867	252295	32	London	Bank_and_Monument_stations
17867	4484	72	London	Bank_of_England
17867	27588077	221	London	Barclays_Cycle_Hire
17867	1085577	29	London	Barking_and_Dagenham_College
17867	93860	34	London	Barnes,_London
17867	93862	28	London	Barnsbury
17867	344654	29	London	Basingstoke
17867	23538713	31	London	Bat
17867	770828	38	London	Battersea_Park
17867	44667	89	London	Battle_of_Hastings
17867	872221	30	London	Beckton
17867	64951	29	London	Berkshire
17867	14450346	46	London	Bethnal_Green_Academy
17867	2257933	56	London	Bevis_Marks_Synagogue
17867	93888	30	London	Bexleyheath
17867	4116	15	London	Big_Bang
17867	561917	49	London	Billingsgate_Fish_Market
17867	372576	32	London	Blackfriars_station
17867	890417	42	London	Blackheath_F.C.
17867	93897	79	London	Bloomsbury
17867	448385	35	London	Blowup
17867	43007	34	London	Blur_(band)
17867	438077	23	London	Bond_Street
17867	4097	65	London	Bordeaux
17867	348134	27	London	Borehamwood
17867	19065069	822	London	Boris_Johnson
17867	3463	18	London	Bosnia_and_Herzegovina
17867	4517	206	London	Boudica
17867	23861381	13	London	Bradford
17867	18933194	25	London	Bratislava
